"StartTime","EndTime","director","trial","target","pair","transitions","round"
1024670,1041990,"B","1.15_ref",1,"009010",3,1
1088100,1127910,"A","1.16_ref",12,"009010",9,1
1148950,1170550,"B","2.1_ref",14,"009010",9,2
1183120,1220720,"A","2.2_ref",9,"009010",7,2
1234970,1271390,"B","2.3_ref",16,"009010",23,2
1278270,1292860,"A","2.4_ref",3,"009010",3,2
1318040,1327280,"B","2.5_ref",10,"009010",5,2
1350940,1371260,"A","2.6_ref",11,"009010",7,2
1378560,1389590,"B","2.7_ref",12,"009010",3,2
1448610,1467350,"A","2.8_ref",7,"009010",1,2
1479550,1486640,"B","2.9_ref",6,"009010",1,2
1519010,1525240,"A","2.10_ref",13,"009010",1,2
1532360,1549240,"B","2.11_ref",2,"009010",3,2
1565170,1578710,"A","2.12_ref",15,"009010",5,2
1587970,1606790,"B","2.13_ref",8,"009010",5,2
1618780,1632970,"A","2.14_ref",1,"009010",7,2
1642220,1652130,"B","2.15_ref",4,"009010",1,2
1681770,1692260,"A","2.16_ref",5,"009010",1,2
1700940,1717500,"B","3.1_ref",9,"009010",5,3
1724610,1735590,"A","3.2_ref",10,"009010",1,3
1761850,1774980,"B","3.3_ref",15,"009010",5,3
1786440,1798390,"A","3.4_ref",12,"009010",1,3
1822980,1838570,"B","3.5_ref",1,"009010",1,3
1856570,1864840,"A","3.6_ref",4,"009010",1,3
1869780,1880900,"B","3.7_ref",7,"009010",1,3
1893040,1913400,"A","3.8_ref",16,"009010",3,3
1924320,1940790,"B","3.9_ref",13,"009010",6,3
1954830,1970050,"A","3.10_ref",2,"009010",4,3
1984280,1998400,"B","3.11_ref",11,"009010",3,3
2010220,2028560,"A","3.12_ref",6,"009010",7,3
2032670,2042080,"B","3.13_ref",5,"009010",3,3
2049340,2061910,"A","3.14_ref",8,"009010",1,3
2076150,2087260,"B","3.15_ref",3,"009010",1,3
2098270,2109590,"A","3.16_ref",14,"009010",1,3
2131810,2141640,"B","4.1_ref",10,"009010",1,4
2159190,2167040,"A","4.2_ref",15,"009010",3,4
2174200,2181480,"B","4.3_ref",6,"009010",1,4
2213060,2219850,"A","4.4_ref",1,"009010",1,4
2228170,2241060,"B","4.5_ref",16,"009010",3,4
2248290,2254280,"A","4.6_ref",13,"009010",1,4
2286330,2294660,"B","4.7_ref",12,"009010",1,4
2312570,2324720,"A","4.8_ref",7,"009010",1,4
2338230,2346120,"B","4.9_ref",2,"009010",1,4
2357090,2370030,"A","4.10_ref",9,"009010",3,4
2378980,2388940,"B","4.11_ref",14,"009010",1,4
2409290,2417490,"A","4.12_ref",5,"009010",1,4
2428500,2440040,"B","4.13_ref",8,"009010",1,4
2446980,2457300,"A","4.14_ref",11,"009010",1,4
2475980,2490060,"B","4.15_ref",4,"009010",7,4
2508090,2513920,"A","4.16_ref",3,"009010",1,4
2517720,2530010,"B","5.1_ref",7,"009010",1,5
2540280,2546150,"A","5.2_ref",6,"009010",1,5
2564730,2574600,"B","5.3_ref",11,"009010",1,5
2590990,2601000,"A","5.4_ref",10,"009010",1,5
2619110,2629260,"B","5.5_ref",9,"009010",1,5
2640830,2646830,"A","5.6_ref",4,"009010",1,5
2658480,2665040,"B","5.7_ref",13,"009010",1,5
2673420,2680370,"A","5.8_ref",12,"009010",1,5
2702370,2711050,"B","5.9_ref",1,"009010",1,5
2730640,2740480,"A","5.10_ref",8,"009010",3,5
2750510,2758160,"B","5.11_ref",15,"009010",1,5
2768580,2775090,"A","5.12_ref",14,"009010",1,5
2790030,2799310,"B","5.13_ref",5,"009010",1,5
2814920,2826970,"A","5.14_ref",16,"009010",3,5
2876580,2885290,"B","5.15_ref",3,"009010",1,5
2897000,2913540,"A","5.16_ref",2,"009010",3,5
2917900,2924760,"B","6.1_ref",10,"009010",1,6
2945900,2953780,"A","6.2_ref",11,"009010",1,6
2974940,2983240,"B","6.3_ref",8,"009010",1,6
3008230,3016640,"A","6.4_ref",7,"009010",1,6
3063760,3069150,"B","6.5_ref",4,"009010",1,6
3079690,3087010,"A","6.6_ref",3,"009010",1,6
3097280,3106490,"B","6.7_ref",14,"009010",3,6
3112190,3117490,"A","6.8_ref",13,"009010",1,6
3131290,3142010,"B","6.9_ref",2,"009010",1,6
3174320,3183690,"A","6.10_ref",9,"009010",1,6
3190130,3196720,"B","6.11_ref",6,"009010",1,6
3213200,3219120,"A","6.12_ref",1,"009010",1,6
3230350,3238260,"B","6.13_ref",16,"009010",3,6
3250150,3259330,"A","6.14_ref",5,"009010",1,6
3263150,3275500,"B","6.15_ref",12,"009010",5,6
3298520,3304060,"A","6.16_ref",15,"009010",1,6
2290,52770,"B","1.1_ref",9,"013014",20,1
121580,137250,"A","1.2_ref",6,"013014",5,1
161550,182670,"B","1.3_ref",15,"013014",11,1
276130,291370,"A","1.4_ref",14,"013014",5,1
311200,327680,"B","1.5_ref",13,"013014",5,1
353370,389170,"A","1.6_ref",16,"013014",5,1
401750,423560,"B","1.7_ref",11,"013014",9,1
458600,496300,"A","1.8_ref",8,"013014",8,1
519510,539840,"B","1.9_ref",3,"013014",4,1
563700,609710,"A","1.10_ref",10,"013014",13,1
637410,691380,"B","1.11_ref",5,"013014",19,1
700370,729650,"A","1.12_ref",4,"013014",7,1
766870,780950,"B","1.13_ref",7,"013014",3,1
803600,824090,"A","1.14_ref",2,"013014",10,1
851870,872390,"B","1.15_ref",1,"013014",8,1
928170,955310,"A","1.16_ref",12,"013014",9,1
974120,985730,"B","2.1_ref",14,"013014",3,2
996910,1012220,"A","2.2_ref",9,"013014",5,2
1030220,1066980,"B","2.3_ref",16,"013014",13,2
1083890,1099340,"A","2.4_ref",3,"013014",5,2
1118550,1129650,"B","2.5_ref",10,"013014",7,2
1140860,1149910,"A","2.6_ref",11,"013014",1,2
1162110,1187870,"B","2.7_ref",12,"013014",13,2
1234160,1245240,"A","2.8_ref",7,"013014",4,2
1302360,1310340,"B","2.9_ref",6,"013014",2,2
1354230,1377780,"A","2.10_ref",13,"013014",3,2
1394080,1405530,"B","2.11_ref",2,"013014",1,2
1428540,1458980,"A","2.12_ref",15,"013014",5,2
1491820,1503550,"B","2.13_ref",8,"013014",1,2
1513770,1524980,"A","2.14_ref",1,"013014",5,2
1555370,1602720,"B","2.15_ref",4,"013014",23,2
1632280,1648160,"A","2.16_ref",5,"013014",7,2
1673580,1693090,"B","3.1_ref",9,"013014",6,3
1709030,1731250,"A","3.2_ref",10,"013014",17,3
1761150,1774950,"B","3.3_ref",15,"013014",5,3
1804280,1826390,"A","3.4_ref",12,"013014",10,3
1884500,1892620,"B","3.5_ref",1,"013014",4,3
1921360,1935720,"A","3.6_ref",4,"013014",5,3
1976780,1984770,"B","3.7_ref",7,"013014",1,3
2001660,2035530,"A","3.8_ref",16,"013014",11,3
2048610,2056390,"B","3.9_ref",13,"013014",3,3
2094410,2107740,"A","3.10_ref",2,"013014",5,3
2166600,2177690,"B","3.11_ref",11,"013014",7,3
2200790,2210490,"A","3.12_ref",6,"013014",3,3
2243480,2264120,"B","3.13_ref",5,"013014",9,3
2278510,2300830,"A","3.14_ref",8,"013014",7,3
2311870,2320870,"B","3.15_ref",3,"013014",1,3
2334650,2341020,"A","3.16_ref",14,"013014",1,3
2350800,2361370,"B","4.1_ref",10,"013014",1,4
2444290,2452100,"A","4.2_ref",15,"013014",1,4
2532460,2540170,"B","4.3_ref",6,"013014",1,4
2573900,2580960,"A","4.4_ref",1,"013014",2,4
2607990,2624900,"B","4.5_ref",16,"013014",4,4
2655250,2665840,"A","4.6_ref",13,"013014",6,4
2692570,2712940,"B","4.7_ref",12,"013014",8,4
2734310,2743970,"A","4.8_ref",7,"013014",1,4
2776940,2793380,"B","4.9_ref",2,"013014",5,4
2815490,2825400,"A","4.10_ref",9,"013014",3,4
2872050,2881000,"B","4.11_ref",14,"013014",3,4
2901730,2912130,"A","4.12_ref",5,"013014",1,4
2931390,2957090,"B","4.13_ref",8,"013014",7,4
2976120,3055750,"A","4.14_ref",11,"013014",31,4
3071000,3084000,"B","4.15_ref",4,"013014",7,4
3100870,3166130,"A","4.16_ref",3,"013014",13,4
3194330,3205560,"B","5.1_ref",7,"013014",1,5
3234200,3246100,"A","5.2_ref",6,"013014",1,5
3262610,3269680,"B","5.3_ref",11,"013014",1,5
3312040,3337090,"A","5.4_ref",10,"013014",8,5
3373380,3388470,"B","5.5_ref",9,"013014",4,5
3428160,3448030,"A","5.6_ref",4,"013014",5,5
3461550,3468690,"B","5.7_ref",13,"013014",3,5
3480350,3492040,"A","5.8_ref",12,"013014",2,5
3504750,3513350,"B","5.9_ref",1,"013014",2,5
3559330,3575980,"A","5.10_ref",8,"013014",5,5
3594440,3605480,"B","5.11_ref",15,"013014",3,5
3631590,3639570,"A","5.12_ref",14,"013014",2,5
3653770,3672510,"B","5.13_ref",5,"013014",4,5
3688480,3698840,"A","5.14_ref",16,"013014",2,5
3722650,3731890,"B","5.15_ref",3,"013014",2,5
3757340,3781020,"A","5.16_ref",2,"013014",9,5
3796620,3813470,"B","6.1_ref",10,"013014",6,6
3829940,3838200,"A","6.2_ref",11,"013014",6,6
3849260,3858220,"B","6.3_ref",8,"013014",7,6
3872600,3879850,"A","6.4_ref",7,"013014",1,6
3902360,3912080,"B","6.5_ref",4,"013014",1,6
3925070,3933860,"A","6.6_ref",3,"013014",3,6
3951460,3961450,"B","6.7_ref",14,"013014",3,6
3971440,4006830,"A","6.8_ref",13,"013014",14,6
4016570,4029240,"B","6.9_ref",2,"013014",4,6
4045980,4057980,"A","6.10_ref",9,"013014",4,6
4070620,4092050,"B","6.11_ref",6,"013014",13,6
4112570,4120030,"A","6.12_ref",1,"013014",2,6
4135290,4143550,"B","6.13_ref",16,"013014",1,6
4152060,4161260,"A","6.14_ref",5,"013014",1,6
4172480,4182430,"B","6.15_ref",12,"013014",1,6
4235160,4244150,"A","6.16_ref",15,"013014",1,6
3280,38410,"B","1.1_ref",9,"015016",16,1
73960,89350,"A","1.2_ref",6,"015016",1,1
120300,134280,"B","1.3_ref",15,"015016",8,1
145780,168710,"A","1.4_ref",14,"015016",11,1
181800,199000,"B","1.5_ref",13,"015016",12,1
236530,279040,"A","1.6_ref",16,"015016",6,1
296350,320960,"B","1.7_ref",11,"015016",4,1
339400,373230,"A","1.8_ref",8,"015016",12,1
400660,412350,"B","1.9_ref",3,"015016",6,1
420910,445840,"A","1.10_ref",10,"015016",7,1
462510,488310,"B","1.11_ref",5,"015016",13,1
498860,523820,"A","1.12_ref",4,"015016",9,1
542390,562520,"B","1.13_ref",7,"015016",9,1
580910,596490,"A","1.14_ref",2,"015016",5,1
612700,632540,"B","1.15_ref",1,"015016",7,1
662750,677240,"A","1.16_ref",12,"015016",5,1
700100,727210,"B","2.1_ref",14,"015016",9,2
734000,745350,"A","2.2_ref",9,"015016",3,2
762950,779250,"B","2.3_ref",16,"015016",3,2
795670,804150,"A","2.4_ref",3,"015016",2,2
825660,848400,"B","2.5_ref",10,"015016",6,2
867650,884090,"A","2.6_ref",11,"015016",7,2
